Screen Name,Follower Count,Total Tweets,Type
LalaHMur,570,1284,Expert
RicePoliSci,151,18,Expert
BAshleyLeeds,1220,255,Celebrity
joelasievert,867,2006,Expert
CaragineCrystal,0,0,Layman
JPRubenzahl,36,403,Layman
Sarah_Brierley1,137,0,Expert
liushiyu1223,14,0,Layman
jon_breece,5,1,Layman
SofiaMFred,46,2,Layman
haoran_zhang96,78,214,Layman
SteveRogersinfo,414,734,Expert
iworld1991,256,904,Expert
Tommyindahouseo,4,0,Layman
Oskarryden,1132,24448,Celebrity
fernandes_becky,298,4177,Expert
JadidAmaf,48,1370,Layman
qisiangng,200,687,Expert
STArthurFR,1381,422,Celebrity
QRoonjha,3738,18569,Celebrity
ChanKaMing15,76,54,Layman
LoyolaCJC,761,2503,Expert
MuradKanrani,175,1200,Expert
AlexCecylia,460,92,Expert
polarbear0627,304,480,Expert
MorganSetDesign,121,177,Expert
_lia_white_,3,0,Layman
TomasFJaramillo,65,1665,Layman
michaelcurtin15,826,3830,Expert
cespinosa10,255,1238,Expert
jayrobw,150,132,Expert
ansarjaferi,63,110,Layman
RyanFedasiuk,564,2095,Expert
theoyakah,120,10,Expert
surilisheth,507,1359,Expert
josemaru718,543,8971,Expert
MuhammadOwais17,271,66,Expert
Young_Poboy,285,2688,Expert
gbbelarmino,0,0,Layman
ctburks,594,88,Expert
AjayVerghese,2579,5229,Celebrity
NadiyaKostyuk,322,252,Expert
EverdingGerry,9,1,Layman
gzdmrl,53,176,Layman
alexburns,1463,9288,Celebrity
TiwadeUttam,208,224,Expert
byron_powell,1904,719,Celebrity
tay_damann,40,35,Layman
mikeseese,137,0,Expert
docambler,270,453,Expert
20007339,3,7,Layman
WashURec,565,849,Expert
RoiZur,304,312,Expert
SEMcMillin,433,2735,Expert
RyanRapsRight,9,8,Layman
LuciaMotoliniaC,574,5837,Expert
DonWill35436867,170,48,Expert
YuanYuan_Hsu,31,196,Layman
dhmarkel,802,13910,Expert
Jacob_Montg,339,373,Expert
AbdussamadAhma1,191,410,Expert
Intel_101,311,407,Expert
ijaz_haq93,172,3249,Expert
BDesco,499,10067,Expert
bkettenring,918,3122,Expert
WhitsonMark,6,39,Layman
LesterSpence,9875,14465,Celebrity
saif_0557,115,602,Expert
AJKnuppe,604,1429,Expert
adeslatte,5205,16734,Celebrity
wnomikos,848,2937,Expert
quimarta_s,56,226,Layman
benjaminrieth,166,1724,Expert
Iva_Mihaylova,99,80,Layman
PoliSciConf,241,55,Expert
WUSTL_Summer,115,191,Expert
villageartist,135,230,Expert
libbydowdall,307,1259,Expert
AdriBoersner,710,1138,Expert
domingosamanda4,71,149,Layman
Stephenrenda,17,0,Layman
OkafoOgochukwu,232,12,Expert
BBoundariesWU,138,169,Expert
TashiTewa,1376,10459,Celebrity
nicolekdan,458,7067,Expert
lisa_nieth,367,374,Expert
PlazaColodro,582,1077,Expert
DavidPoe223,208,689,Expert
sdabreu,185,2324,Expert
AncienBenlloch,311,2595,Expert
poetword,160,2390,Expert
meirajmm,127,140,Expert
christiankscott,143,916,Expert
mrsultan713,1012,1520,Celebrity
KyleECronin,125,1172,Expert
N_Damschke,240,214,Expert
SocialPerforma2,869,2755,Expert
Petergehy,17,7,Layman
XuanLI_1994,16,10,Layman
hamchicago,88,611,Layman
shirley980604,33,145,Layman
anishnabenow,887,4472,Expert
aidaan96,306,210,Expert
CarlyNWayne,1144,832,Celebrity
maajlan,482,30726,Expert
DBS110,454,4074,Expert
fejesmg,355,1501,Expert
thomaserandall,388,919,Expert
STLblogera,964,15476,Expert
SheenaGreitens,7722,5015,Celebrity
anna_getmansky,1042,522,Celebrity
ka_99k,39,972,Layman
simonrcotton,517,291,Expert
WashUAlumni,2576,4627,Celebrity
menchant_liu,4,26,Layman
RiskMBA,644,1549,Expert
ElleFreeMO,105,517,Expert
JenSmithWashU,347,431,Expert
arcruz0,191,204,Expert
liulch16,7,30,Layman
WashUChancellor,3419,4085,Celebrity
WUSTLTTC,532,1391,Expert
_AMReilly,247,1368,Expert
so_proksch,750,83,Expert
joan_barcelo_,359,67,Expert
blfraga,2652,2887,Celebrity
weil_ethan,6,56,Layman
J0eSutherland,278,44,Expert
tntreat66,16,97,Layman
mauvela,87,306,Layman
eicoz,380,1886,Expert
cesicruz,3128,1887,Celebrity
ianRturner,1245,899,Celebrity
_NingHe,58,38,Layman
nielshappeldorn,67,2,Layman
DanBischof,1994,3903,Celebrity
MadCoEconDev,152,245,Expert
FundedMission,448,2687,Expert
WASHU_BNVB,76,69,Layman
GSSwustl,53,58,Layman
efeduenas,365,2380,Expert
jeonghkim1,120,44,Expert
shirokuriwaki,915,212,Expert
dianazobrien,1950,378,Celebrity
HansardScholars,268,788,Expert
ReubenSiegman,179,1589,Expert
AshLee_M_Smith,493,380,Expert
cd_lucas,2384,566,Celebrity
RobertCantelmo,469,1392,Expert
aleranda,40,628,Layman
SPSAwomen,1263,2924,Celebrity
johnadearborn,1718,3459,Celebrity
LZZpoli_sci,0,0,Layman
NJBrdicko,6,1,Layman
luisrivero,552,5604,Expert
Jhon_neu,66,0,Layman
YouthMarchCO,88,40,Layman
soccerquant,12391,9485,Celebrity
riley_judd,319,770,Expert
JonathanMishory,615,9668,Expert
BeirutMugharid,82,4612,Layman
NickMormino1,12,6,Layman
MillbrookPharm,403,1788,Expert
UTRGVPOLS,218,130,Expert
WashULRev,278,174,Expert
RMM038,240,259,Expert
elizabethaeddy,91,90,Layman
gebby1984,760,8326,Expert
mhseo88,126,10,Expert
Julie_Flory,1308,8209,Celebrity
klier_teresa,0,0,Layman
SamKleinOnline,142,2223,Expert
ciudadana_erika,665,7331,Expert
WUSTL_InfoSec,34,117,Layman
C_Wolbrecht,13379,16678,Celebrity
_faisalkamal,397,738,Expert
ScottFAbramson,398,205,Expert
WashUAdmissions,786,1064,Expert
BrendanNyhan,73144,77748,Celebrity
ConnorMEwing,1197,1309,Celebrity
michael_p_olson,373,2921,Expert
psuareziskihata,223,1153,Expert
aaronjgold2,272,143,Expert
sengulyldz,180,747,Expert
dalston_gawain,84,588,Layman
MattC15,187,2933,Expert
JasonWRoland,1290,8431,Celebrity
Stratton_Jill,926,1754,Expert
srmonteirojr,513,4536,Expert
ben_fifield,563,125,Expert
NewEnglandPSA,992,1124,Expert
hedwig_lee,2605,8133,Celebrity
wufrank200,102,312,Expert
LLingo_admin,26,1,Layman
PatrickRickert,163,1083,Expert
BMcCSJ,957,3559,Expert
nocmgr,149,940,Expert
WashUWellness,79,67,Layman
JM_Sievert,2143,9672,Celebrity
cmhinderliter,2717,15526,Celebrity
STLRegChamber,13843,8421,Celebrity
faze_uso,1,31,Layman
SKappHastings,13,6,Layman
azwolk,227,1245,Expert
BetulD_,52,8,Layman
JulioTellez,1208,7364,Celebrity
AdmissionDeanWU,302,474,Expert
eiri75,38,2107,Layman
LilyJake11,78,284,Layman
WashUGHW,83,53,Layman
CaitlynMCollins,3295,3018,Celebrity
AmanPatil17,42,38,Layman
ITAPCWE,3564,1631,Celebrity
StLouisMOBiz,174,6,Expert
WUSTLcareers,3781,2275,Celebrity
sumpunta,402,7992,Expert
Peacock1,480,2614,Expert
wasserjo,38,48,Layman
JacekBursztyn,403,28000,Expert
parallelchords,350,279,Expert
StineDeborah,37,65,Layman
wustlsoc,236,406,Expert
pjfj4,12,337,Layman
WUSTLKat,31,65,Layman
ProfKrassa,85,954,Layman
matthewhitt,1694,1585,Celebrity
jbshore14,344,4102,Expert
JonasMarkgraf,269,164,Expert
washu_su,1842,1390,Celebrity
din_inter,731,1254,Expert
noa_yadidi,325,903,Expert
lexojackso,761,19408,Expert
zvincent9,175,271,Expert
tunderia,8,26,Layman
WASHUwSoccer,633,604,Expert
xhonorarywustl,24,65,Layman
ProfDeadwood,1,1,Layman
chad_schwam,10,0,Layman
BarStLouisMo,3031,3485,Celebrity
FozziesSandwich,1210,1289,Celebrity
wustlsts,472,551,Expert
JacobLevitan,9,6,Layman
wuNetArchitect,57,86,Layman
myrablopez,519,1575,Expert
JaredDauman,10,0,Layman
PoliticsUVA,2068,2248,Celebrity
gregjwhitfield,242,925,Expert
keeporthestars,196,2170,Expert
sherenpen,22,8,Layman
moritzmarbach,406,9,Expert
mm_bechtel,270,63,Expert
OpticalRadLab,205,235,Expert
KongXiangchuan,3,1,Layman
KCannon_777,419,414,Expert
carry_my_lyn,5,3,Layman
WashUengineers,4912,7352,Celebrity
WISHHousing,754,3720,Expert
J_LawPolitics,415,380,Expert
jmtheology,214,1450,Expert
EHSgifted,153,294,Expert
TMNTBackpackKid,8,1,Layman
matt_devoll,196,654,Expert
yk344_kwon,595,4504,Expert
kevinlevart,303,356,Expert
INCEESWUSTL,418,2535,Expert
fullstoppberlin,745,860,Expert
mrjoefrank,1162,1505,Celebrity
red_zephrin,41,213,Layman
PSANational,1372,1445,Celebrity
generallybryn,414,2452,Expert
DdfaKdoaoer,12,6,Layman
WUSTLGephardt,1229,1507,Celebrity
debbiemurphy,625,582,Expert
Fourboysmama,42,124,Layman
WomensSocietyWU,123,32,Expert
picook,200,209,Expert
washu4hillary,1756,71,Celebrity
wuestpr,58,7,Layman
IdkImJustBored,522,103293,Expert
AmyHC,432,1091,Expert
rlcalv,55,58,Layman
justinfoxstl,64,0,Layman
HarrisWorldLaw,250,359,Expert
BrookingsRC,37,24,Layman
PeterColumCasey,131,766,Expert
WashULaw,2184,7270,Celebrity
PoliSciUMN,1757,8803,Celebrity
StLouisPILaw,2411,5505,Celebrity
CatholicLuisa,218,2740,Expert
hyebell94,78,2,Layman
mirandayaver,12823,66248,Celebrity
WUSTLAnthro,595,937,Expert
ProfJRoberts,1458,4011,Celebrity
mavrknetworking,33,16,Layman
CoffeeCartelSTL,1455,2865,Celebrity
Steph_Budrus,275,3263,Expert
politconsultant,230,563,Expert
PSA_APG,1133,516,Celebrity
RiaHan94,56,196,Layman
wustlisp,1371,3185,Celebrity
WashUsummer,514,769,Expert
WashUOUTLaw,204,214,Expert
OlinWCC,1075,1532,Celebrity
GayleGeren,743,6570,Expert
Scotty_Jacobs,102,90,Expert
prof_nokken,626,9143,Expert
WUSTL_CIO,389,794,Expert
the_noblest,75,54,Layman
sandersems,55,230,Layman
DaniellePaige35,12,15,Layman
ErinAAmato,85,347,Layman
blumkmasterflex,256,3260,Expert
setuhro,0,6,Layman
SarahO_333,6,18,Layman
OlinCaseComp,5,5,Layman
CtrRelPol,1930,2467,Celebrity
FrankMCorona,59,694,Layman
keridugan1,31,105,Layman
RelayForLifeWU,583,583,Expert
AEConnolly41,26,276,Layman
WUSTLDIFFS,22,17,Layman
stephen_huber,286,2465,Expert
JohnCluverius,1756,8631,Celebrity
WUFYC,970,1388,Expert
Schmiedette,31,269,Layman
ChancellorW,2262,932,Celebrity
washudems,306,66,Expert
cynhudson,571,1145,Expert
jeremycaddel,62,79,Layman
SamFoxSchool,2351,9808,Celebrity
ScholarBridge,242,526,Expert
WUSTLoiss,842,771,Expert
WUCS40,185,77,Expert
pol_economist,412,786,Expert
WUSTLlibraries,1776,4027,Celebrity
ma_me_ga,906,8420,Expert
binici,23,5,Layman
WUSTLEconAC,132,639,Expert
WU_DAC,156,39,Expert
SJGivensSTL,594,952,Expert
RasitYT,19,1058,Layman
avascenturians,157,225,Expert
keithschnak,1261,5768,Celebrity
Adrienne_WU,3225,1729,Celebrity
OlinBSBA,418,613,Expert
WUSTL,32796,10365,Celebrity
jwpatty,3188,321,Celebrity
ClarissaHayward,885,6797,Expert
wupad,546,612,Expert
AMCS_WU,467,750,Expert
WashUTimmy,75,35,Layman
DOTwustl,53,16,Layman
WASHUCheer,112,21,Expert
kennethsng,48,3,Layman
prof_aburibe,7,23,Layman
WashU_Habif,441,939,Expert
slso,37303,9790,Celebrity
WUSTLDC,62,198,Layman
deepfriar,332,22238,Expert
mjnelson7,605,1495,Expert
Jktboston,172,118,Expert
OutPerformPeers,354,2156,Expert
ajreeves,1384,149,Celebrity
ironflamingo1,3,2,Layman
Coolicolo,176,1383,Expert
WUSTLArtSci,2471,7551,Celebrity
caseycrawforddd,171,3003,Expert
BellevilleMovee,19961,118,Celebrity
WUSTLpubhealth,2051,4982,Celebrity
JonathanRapkin,4,61,Layman
ProfStevenSmith,2685,38,Celebrity
j_homola,223,62,Expert
emagar,2250,5545,Celebrity
alucardi1,1126,14706,Celebrity
000fukumoto,1951,3368,Celebrity
WUSTLSIS,831,1840,Expert
