Screen Name,Follower Count,Total Tweets,Type
JenSmithWashU,347,431,Expert
wustlsoc,236,406,Expert
BetsySinclair1,1392,199,Celebrity
TheAtlantic,1810315,170418,Celebrity
keithschnak,1261,5768,Celebrity
ianRturner,1245,899,Celebrity
gregjwhitfield,242,925,Expert
BetulD_,52,8,Layman
dalston_gawain,84,588,Layman
jeonghkim1,120,44,Expert
Jktboston,172,118,Expert
MattC15,187,2933,Expert
STLFilmFest,2581,2685,Celebrity
alucardi1,1126,14706,Celebrity
mhseo88,126,10,Expert
jeffreymziegler,189,851,Expert
michtorresp,729,249,Expert
joncrogowski,492,50,Expert
senecadoane,171,1969,Expert
WUSTLBio,660,530,Expert
matt_devoll,196,654,Expert
WashURec,565,849,Expert
WUSTLAnthro,595,937,Expert
mirandayaver,12823,66248,Celebrity
ScholarBridge,242,526,Expert
justinfoxstl,64,0,Layman
AmyHC,432,1091,Expert
rlcalv,55,58,Layman
POTUS44,14975407,352,Celebrity
POTUS,26500377,6744,Celebrity
LarryvilleLaw1,1356,71774,Celebrity
the_noblest,75,54,Layman
WUSTL_CIO,389,794,Expert
prof_nokken,626,9143,Expert
Scotty_Jacobs,102,90,Expert
GayleGeren,743,6570,Expert
usmanfalalu1,30,1473,Layman
OlinWCC,1075,1532,Celebrity
wustlisp,1371,3185,Celebrity
RiaHan94,56,196,Layman
PSA_APG,1133,516,Celebrity
wustlsts,472,551,Expert
washudems,306,66,Expert
pol_economist,412,786,Expert
wustlconnect,195,2,Expert
WUSTLGephardt,1229,1507,Celebrity
SJGivensSTL,594,952,Expert
LeftBankBooks,9973,7864,Celebrity
SaintLouCo,11990,7475,Celebrity
holdenWU,7795,4689,Celebrity
WUPSSA,66,57,Layman
WUPR,507,1139,Expert
wustl_reslife,993,506,Expert
ReligPolitics,12518,7087,Celebrity
RiverfrontTimes,119914,51731,Celebrity
NewYorker,8700765,97847,Celebrity
WUSTLTTC,532,1391,Expert
jwpatty,3188,321,Celebrity
OlinBSBA,418,613,Expert
SLCL,11619,19630,Celebrity
WU_DAC,156,39,Expert
TIME,16191977,325750,Celebrity
WUCS40,185,77,Expert
WUSTLEconAC,132,639,Expert
ClarissaHayward,885,6797,Expert
AP,13467787,248925,Celebrity
washingtonpost,14033829,327201,Celebrity
explorestlouis,66116,10064,Celebrity
nytimes,43934932,369084,Celebrity
DanforthCenter,10534,8545,Celebrity
APSAtweets,26936,6214,Celebrity
ProfStevenSmith,2685,38,Celebrity
WashUengineers,4912,7352,Celebrity
kemperartmuseum,46019,3767,Celebrity
WUSTLcso,806,199,Expert
BrownSchool,4327,2846,Celebrity
WUSTLdigital,462,97,Expert
washu_su,1842,1390,Celebrity
EdisonTheatre,620,376,Expert
WUSTLdining,668,810,Expert
washuSWI,204,305,Expert
SamFoxSchool,2351,9808,Celebrity
WUSTL_English,267,461,Expert
studlife,5972,9145,Celebrity
WashULaw_online,1635,394,Celebrity
SkandalarisCtr,2967,3440,Celebrity
StlArtMuseum,27262,5291,Celebrity
WUSTLDUC,73,5,Layman
TheNineNetwork,19997,24160,Celebrity
ForestPark4Ever,8633,7884,Celebrity
WUSTLoiss,842,771,Expert
WashUsummer,514,769,Expert
WashULaw,2184,7270,Celebrity
ArtStLouis,4490,7246,Celebrity
stlzoo,82101,4755,Celebrity
WUSTLSPB,806,630,Expert
mobotgarden,46221,10996,Celebrity
mohistorymuseum,25074,10970,Celebrity
ajreeves,1384,149,Celebrity
slso,37303,9790,Celebrity
STLScienceCtr,24643,8943,Celebrity
WUSTLGlobalHlth,63,18,Layman
WustlSAAP,50,39,Layman
CtrRelPol,1930,2467,Celebrity
farmplicity,434,603,Expert
studlifesports,610,4791,Expert
WashUOUTLaw,204,214,Expert
WashUNews,164,35,Expert
fulbrightboard,10477,4757,Celebrity
FulbrightSchlrs,28982,9071,Celebrity
IRRT_WUSTL,46,343,Layman
WomensSocietyWU,123,32,Expert
WUSTLDC,62,198,Layman
WUProSPER,80,21,Layman
WUSTLCompliment,43,1,Layman
UCampusWustl,351,3,Expert
DOTwustl,53,16,Layman
WashU_Habif,441,939,Expert
gpc_wustl,326,368,Expert
ProfWrightonWU,4490,1512,Celebrity
WUSTLbusiness,4237,6319,Celebrity
WashUAlumni,2576,4627,Celebrity
WUFYC,970,1388,Expert
HouseFloor,491933,60712,Celebrity
SenateFloor,554172,11281,Celebrity
TheJusticeDept,1642369,9611,Celebrity
StateDept,5394790,61186,Celebrity
DeptofDefense,5869564,26242,Celebrity
UN,11322488,70250,Celebrity
ObamaWhiteHouse,13161942,28351,Celebrity
WhiteHouse,18932677,10633,Celebrity
BearBucksWUSTL,322,2602,Expert
WUSTLJobs,299,151,Expert
AMCS_WU,467,750,Expert
WUSTLpubhealth,2051,4982,Celebrity
wupad,546,612,Expert
WUSTL_thinks,546,1895,Expert
WUSTLPostdoc,1050,2299,Celebrity
WUSTLmed,15038,7927,Celebrity
WUSTLSustain,1283,1296,Celebrity
WUSTLArtSci,2471,7551,Celebrity
WASHUBears,5969,21645,Celebrity
WUSTLlibraries,1776,4027,Celebrity
WUSTLSIS,831,1840,Expert
WUGetInvolved,578,1356,Expert
WUSTLnews,9331,12194,Celebrity
WUSTLcareers,3781,2275,Celebrity
WUSTLucollege,2186,2032,Celebrity
WUSTL,32797,10365,Celebrity
stltoday,249691,154752,Celebrity
BarackObama,107930783,15668,Celebrity
