Screen Name,Follower Count,Total Tweets,Type
SpiveyFaulkner,19,7,Layman
apaniaguaavila,111,122,Expert
shanziem,7,4,Layman
diane_hudon,10,70,Layman
dleers,28,42,Layman
IhbzTfSvesni0bA,0,0,Layman
bigfish0010,25,20,Layman
SulovSaha,8,7,Layman
joshirsey,0,11,Layman
spatns,244,442,Expert
AndySchutzenho1,37,40,Layman
LISAAcademy,604,1772,Expert
LsfAtty4,578,11110,Expert
babydogjen,1581,3232,Celebrity
congwan95919842,0,0,Layman
KhushiSuman3,25,41,Layman
cothomas68,77,3053,Layman
GatormanRick77,11,41,Layman
dl_galkin,1,1,Layman
XuefengJiang1,0,0,Layman
emasud23,4,3,Layman
nunn_j,12,0,Layman
PamelaSepik,12,20,Layman
khirscher,4,2,Layman
NommensenKristy,5,79,Layman
atheistjane,118,76,Expert
MatthewFreund1,7,0,Layman
yourboiEvan,695,2429,Expert
WoodleaGal,30,295,Layman
Jjopes,60,466,Layman
jemslow3,1,0,Layman
sanchezgermann,29,38,Layman
Linda0704,17,33,Layman
MikeMiller312,3,1,Layman
tbpayne2,7,0,Layman
WeiQian49219121,0,0,Layman
chad_coates8,90,509,Layman
TonyJaccaci,619,2210,Expert
bballer_437,98,892,Layman
NolanNNHS,29,0,Layman
Anika_Walke,150,155,Expert
phukjieww,0,15842,Layman
steve_ott_72,9,15,Layman
UTLegalClinic,53,27,Layman
mom2dog2,0,17,Layman
MiriamElman,2805,21703,Celebrity
DarcieMattec38,26,10,Layman
mandylockss,0,0,Layman
jenfisher21,19,13,Layman
maggiebgg,1,0,Layman
b19926491424,0,0,Layman
Big_Paul_Sr,224,515,Expert
rushmegup03,21,57,Layman
stacysmallfield,14,20,Layman
Kathyweaver1010,18,484,Layman
LightningJ55,15,15,Layman
sara_katz,26,32,Layman
NERothfuss,7,1,Layman
sam_m_122,474,687,Expert
akatpatel,9,1,Layman
MiyaraShoval,86,42,Layman
Katknews,1825,5270,Celebrity
2heUluYJkFWVQiO,0,5,Layman
irene970405,3,0,Layman
stjude95,17,768,Layman
persephonenurse,775,2167,Expert
Jr2SHCounselors,196,319,Expert
LisaMur29606334,96,4396,Layman
Robert75346236,4,1,Layman
JoshShoemaker_,5,1,Layman
WustlMAPS,2,0,Layman
mmmmskyscraper,6,0,Layman
bstanellIII,203,333,Expert
WHY75504061,1,1,Layman
RebeccaRod11,34,53,Layman
laurenjsurratt,35,14,Layman
CChorlins,4,2,Layman
marcoyoung_1,407,230,Expert
kimayratae17,1,11,Layman
Lovestarlite_14,0,1,Layman
aparnadeora,5,8,Layman
ipfconline1,113401,149942,Celebrity
AdrianJayD,149,125,Expert
Ryan_zhang0629,7,5,Layman
RiethJones,7,17,Layman
ASVP_OSIRIS,13,3,Layman
AnneJiang6,16,106,Layman
zack_kalinowski,2,8,Layman
GatzKatrin,53,6,Layman
shuos_rst,3,109,Layman
NIGUOWEI1,1,0,Layman
RegalSportsMW,10,248,Layman
JLovingkx,0,0,Layman
KCMOHealthDept,5312,5229,Celebrity
ABSWashU,508,956,Expert
ElamStine,21,1,Layman
RBHSCounselor,11,0,Layman
Robert_C_Power,212,217,Expert
mosici,0,0,Layman
OpeSotonwa,122,1942,Expert
Fuadahmed_19,165,263,Expert
GSirle,43,6400,Layman
Fuaaaaaad_ahmed,21,133,Layman
ChaoPumbaa,1,3,Layman
judyreports,83,339,Layman
VisionaryBA,2,4,Layman
RachelDahm1,648,2088,Expert
NicholasMormino,4,0,Layman
KarrenKnowlton,19,5,Layman
SLU_IPE,260,130,Expert
AsiaTom1,29,25,Layman
PeregoyCharles,70,146,Layman
howdahplantae,571,25464,Expert
KhalfaniMar,60,349,Layman
mahmoudqrdahgy,26,22,Layman
EA_Puplampu,378,7042,Expert
mburakozata,39,416,Layman
Clartstudio,4,0,Layman
DaZheng666666,0,0,Layman
bkelber67,3,21,Layman
WWHuang2,4,4,Layman
Skbower,12,772,Layman
SandhuHarvin,4,0,Layman
StemTutorMx,112,1,Expert
DECAJustin,19,8,Layman
JessicaCButts,114,112,Expert
MarCom_Awards,1068,839,Celebrity
ellawesson,67,12,Layman
_johnjohng_,4,0,Layman
omarhernandez,580,18454,Expert
tinacassidytlc,0,0,Layman
jarnacke2,0,1,Layman
ceciliawacu26,24,0,Layman
HofmeyerMelissa,19,1,Layman
Lvlelvn,32,2,Layman
DonPerkins16,7,1,Layman
Weidionroad,17,33,Layman
baruah,23,0,Layman
chiemeka79,274,25631,Expert
OmarSha85940266,24,10,Layman
HarshVe61926094,2,20,Layman
haris_voksic,4,12,Layman
AntonTPiskac,4,213,Layman
KadanOhad,4,0,Layman
PTHS_Counseling,44,45,Layman
keshav_udeshi,9,3,Layman
genetics_junkie,25,39,Layman
taylormoser_,524,6435,Expert
grwatkins17,33,37,Layman
QueenBamela,62,549,Layman
auguatusyu,0,0,Layman
tugejnvfrhi75,20,151,Layman
yvonne62600569,0,4,Layman
kate71890,7,0,Layman
JuanMan06691499,53,139,Layman
AnitaHerRiv,339,8170,Expert
JohannGreyling4,467,9476,Expert
LisaTConnor,179,285,Expert
DomnicBett,21,5,Layman
jhk0631,15,62,Layman
awesome_autumn3,46,37,Layman
GrantYaney,48,37,Layman
NickLyn40016010,1,0,Layman
GritStreetMedia,0,0,Layman
imabotbruh,0,30,Layman
BellaHe16,2,0,Layman
hsuehjun,3,1,Layman
emmarose739,177,4494,Expert
RacismeSocial,432,9892,Expert
ashton_gurl23,98,439,Layman
ConstanceCorne9,11330,67791,Celebrity
sophubi,71,18,Layman
HerrinNoah,14,16,Layman
whitbert,66,393,Layman
linyihai2,24,0,Layman
DougUlrich2,900,13110,Expert
RoyZhu36031365,1,0,Layman
PKoulogeorge,26,2,Layman
marielacuadro,678,2137,Expert
quesadillas122,16,3,Layman
cmribakoff,171,659,Expert
foxfamily6,5,1,Layman
edina_ah,218,1707,Expert
HeatherNStL,1121,709,Celebrity
ka_pegah,67,44,Layman
anslemfelexx,1324,6659,Celebrity
EvanKaplan16,0,0,Layman
Slphillips10,185,1050,Expert
mehersingha,31,7,Layman
CraigRiggins,59,209,Layman
CatLoverKT,220,0,Expert
BowermanNolen,79,2,Layman
yuvakarthik2,1137,35071,Celebrity
Sabino_Zarrabal,85,0,Layman
PilarGonzN,16,34,Layman
ilkoleno,121,94,Expert
EMDB_EMPIAR,2077,502,Celebrity
sangiarno,22,356,Layman
lamia20203,25,0,Layman
JillSamz,9,0,Layman
Katie3Feeney,117,131,Expert
rachaelnb,279,4900,Expert
jjl555,4,2,Layman
NanRaghuraman,19,16,Layman
clayton_herbst,155,279,Expert
LhommedieuRae,10,1,Layman
FrannyBoly,74,7,Layman
AtuYuguda,3,13,Layman
EsqUche,5,16,Layman
Lostfrequenncy,18,0,Layman
engineeredhvac,105,157,Expert
brooke_fei,1,0,Layman
hanginwithDrC,215,375,Expert
foxbeth,311,1856,Expert
gemtransport,24,5,Layman
saintlouisbank,7,0,Layman
MrMichaelMan27,56,300,Layman
diaojinjin88,12,19,Layman
yumakajihara,35,373,Layman
Kfd1024,106,303,Expert
chrishywei,2,1,Layman
esomayina,529,1929,Expert
APADiv24,1213,125,Celebrity
NenadBosnjakov3,69,0,Layman
lovedhoba,424,128,Expert
InglettEric,0,0,Layman
LMahler20,10,115,Layman
amekatharine,38,8,Layman
MahmoodSultan5,140,16,Expert
EEQAP,22,28,Layman
zonicw,0,0,Layman
stlcardsfan2011,19,879,Layman
ShaneInStLouis1,74,319,Layman
DnaEly,9,2,Layman
___deblojackson,154,1554,Expert
suzanbostick,6,106,Layman
ClaytonGeenen,188,486,Expert
gLORIousRun,113,2644,Expert
edgyalienmax,25,4,Layman
laurenrogge4,2,6,Layman
RootCauseSTL,44,24,Layman
egsc_wustl,45,9,Layman
nnlmmcr,268,1522,Expert
EsRaaRa19,38,501,Layman
umkreise,1,9,Layman
MikeMillerSTL,8644,57528,Celebrity
sakhan2019,15,2,Layman
TannerBaird6,95,69,Layman
Michael88270818,0,2,Layman
AmcepedaE,37,3,Layman
mar_dabbah,8,1,Layman
boothjrjr,131,119,Expert
tusomee1,6,18,Layman
PinkeNicole,129,3,Expert
RNHDC,78,24,Layman
andreakgraham,72,4,Layman
AkachiPhillips,9,4,Layman
matteopollaroli,85,1011,Layman
PaulBGDX,7,0,Layman
alqahtani_js,210,1038,Expert
atkirtland,2,2,Layman
VagnozziRJ,161,145,Expert
MaggieA00005322,3,1,Layman
domolica,282,1439,Expert
ZhuoyueGao,3,2,Layman
grantneeley,207,327,Expert
aimee55883991,2,3,Layman
jordankeller59,1736,1158,Celebrity
jamilac123,5,23,Layman
AnitraCRivera1,1,74,Layman
shoujidiaole,3,8,Layman
mpangamm,41,25,Layman
MarySalihWex,215,3128,Expert
Joe06275925,32,1,Layman
BenedictKonso,544,6553,Expert
maddiensass,219,112,Expert
Lew_Lab,84,2,Layman
CoraVulin,12,15,Layman
drexelpubhealth,5797,4234,Celebrity
francescofonta3,15,4,Layman
MichaelMAdamMD,48,5,Layman
EMoracci,27,91,Layman
IsmaeleCaramel1,39,1413,Layman
DonnetteLarki13,1,8,Layman
RuzzanteMatteo,72,248,Layman
mdmaddalon,35,0,Layman
adriennecgarr,260,5167,Expert
jaffe55,53,15,Layman
GWardeberg,34,11,Layman
andreharris89,1666,28593,Celebrity
jasonyew00,0,0,Layman
Jenjraymond,106,524,Expert
CambioCenter,260,1124,Expert
RatulRana9,58,0,Layman
TeaffNickle,288,131,Expert
grw_sr,21,124,Layman
SoSpecialDesign,14,28,Layman
TylerQuigley10,2,0,Layman
jtmoore73,22,3,Layman
kennetheversole,66,460,Layman
KalEl78181496,12,15,Layman
WCBballWolves,307,351,Expert
CSuttonCooper1,2,2,Layman
TaliaRubnitz,212,213,Expert
UBSSW,6291,28978,Celebrity
fahminajjar,323,4253,Expert
BestHometown,52,258,Layman
StandardsMich,659,8566,Expert
HJaconis,0,1,Layman
angelseti,1907,132879,Celebrity
DiaoulaHaman,2,1,Layman
TingHeC,5,0,Layman
slcs48n1,4274,7947,Celebrity
Abdel89680785,2,0,Layman
plusj1918,744,124,Expert
728pat,23,229,Layman
thier_jane,74,31,Layman
jason11welker,1,3,Layman
rxa159,113,1173,Expert
RyckmanCamille,4,7,Layman
ts_ericson,6,31,Layman
BasqueWater,2161,10958,Celebrity
ThePractice_LA,2406,1919,Celebrity
GarageTutor,11,2,Layman
HenryLiie,1,0,Layman
kb_nyc,0,0,Layman
jchenkelly,24,3,Layman
ChvatalMary,18,15,Layman
Rich24_777,77,109,Layman
PatrickFSulliv1,2,10,Layman
locke_marissa,7,0,Layman
epicenoepiceno4,125,2650,Expert
joeryan411,33,39,Layman
m_hill92,210,3427,Expert
NU_MedEd,302,120,Expert
DrLJD_Author,297,573,Expert
MattPrunckle,427,1856,Expert
aliyakh86391775,21,2875,Layman
EssaysNext,2,1,Layman
maddik93,874,14546,Expert
ZHIYE9,0,0,Layman
vedder1106,259,26,Expert
LuisPAPU19,69,4812,Layman
jtf__86,23,11,Layman
JaneSun21333424,0,0,Layman
kvvnland,73,1,Layman
sasevans23,4,0,Layman
migiall,0,0,Layman
allie__fitz,88,24,Layman
estebanvarelamd,889,1464,Expert
vrice_kcmo,121,1354,Expert
Tieasha14,30,2,Layman
jlchosy,1,0,Layman
MichelleDivine5,6,0,Layman
shbricker,68,367,Layman
aaperrone,8,16,Layman
Ahmadfa78728117,1,79,Layman
TK00873890,4,6,Layman
markamimura,585,2268,Expert
kelseynic07,186,2324,Expert
beingtitan,154,995,Expert
BrianFishmanDO,1984,9013,Celebrity
marcio_chem,144,36,Expert
SurvivalMchine,104,341,Expert
AlecBeeve,5,4,Layman
Y98Lance,7154,45731,Celebrity
KThaemert,244,860,Expert
JohnPaulJanik1,39,60,Layman
peaksportspine,144,86,Expert
richard42877112,1,16,Layman
joan_herlihy,2,8,Layman
Chris_Lisgaras,561,306,Expert
Transit788,83,158,Layman
murray7100,50,155,Layman
rmishra_Stl,1,4,Layman
josue_ma_,245,3501,Expert
OlumideA100,6,104,Layman
Batidie6,115,1391,Expert
Solomon96844838,0,0,Layman
internetplans,154,499,Expert
GreyBryanDesign,76,517,Layman
ray_chazelle,24,94,Layman
JasminSponagel,38,27,Layman
stephrstephr,235,411,Expert
QualityPolitics,3,2,Layman
D_E_E_P_A_K___,15,1,Layman
QuinnYoung4,8,1,Layman
stlpeacecorps,196,196,Expert
klobell,138,3232,Expert
flavaroyale,80,163,Layman
SofiaMFred,46,2,Layman
RenalRhapsody,152,13,Expert
STL48778216,0,0,Layman
Pheiura,377,789,Expert
mireiapellicer5,32,0,Layman
abcbanden,69,377,Layman
sedengineer,511,12301,Expert
Joshua88187186,0,0,Layman
500wsSTL,403,890,Expert
MWSTS1,43,50,Layman
KariHoggard,4,4,Layman
j_steirn,7,16,Layman
EthelBS,126,113,Expert
feebeeleee,48,121,Layman
HMSPallCare,4726,1819,Celebrity
BrickingMaliah,2,2,Layman
Adedipe1992,11,104,Layman
boddah321,141,5,Expert
havengabielle,0,0,Layman
Ayanman180,10,4,Layman
Olumide1992,13,103,Layman
SudiBjornstad,39,50,Layman
BudgePhilip,26,3,Layman
NoahRandall90,16,46,Layman
THARUNR39573417,8,0,Layman
jamesistrawick,11,10,Layman
luke_markinson,69,1114,Layman
JTNoetzel,167,105,Expert
DrMarcal,40,16,Layman
vanjohnsonn,12,29,Layman
jjy624,1,4,Layman
wiedermc,45,4,Layman
coker_kristin,28,86,Layman
YaowuWang,3,9,Layman
sarahlizzwilson,26,22,Layman
CarlKirts,133,114,Expert
jermeshaj,28,1354,Layman
meister_bird,597,5159,Expert
T27932,32,89,Layman
kyiv_vladimir,42,8,Layman
Mr_BuenosDiaz,192,54,Expert
stlatheists,10569,8226,Celebrity
Courtne14364347,8,6,Layman
smplds,0,0,Layman
rogerpilc,897,281,Expert
HollySi72172496,1,1,Layman
anettles330,3,0,Layman
Zeng_Jiahe,0,0,Layman
upchange,8,127,Layman
stlbbqsociety,432,773,Expert
ThomureOlivia,1,2,Layman
spotterksdk,610,129,Expert
BrestoffLab,3,0,Layman
MBAchicblog,557,3738,Expert
gayathri25788,23,4,Layman
martingandur,358,3107,Expert
YoungFriendsSTL,17,175,Layman
t_khattab,265,687,Expert
cee_maggie,10,120,Layman
mindyhorwitz,15,4,Layman
LadyTigerCougar,193,13,Expert
aaronmatthew762,182,3,Expert
birajmk,46,11,Layman
PoeskieA,140,658,Expert
BrooksKricket,0,0,Layman
alixsharkey,1989,17828,Celebrity
jackievc09,5,2,Layman
Holar_Yhemmie,548,4766,Expert
ANNJONE13251305,5,370,Layman
avery_patsfan,167,22136,Expert
mkrhawes,7,4,Layman
chameleon1105,0,1,Layman
CounselorLadyMJ,11,24,Layman
JacekGorka,27,119,Layman
CollegeVizzy,105,62,Expert
JoeEspinal3,4,0,Layman
RegularOctagon,36,37,Layman
syd4631,146,6309,Expert
calebridgwater,307,4514,Expert
s_ayeshaali,18,117,Layman
Professor_Tong,1323,2669,Celebrity
ER69277202,0,0,Layman
ABABPAK1,113,265,Expert
fallatahsafaa,133,352,Expert
najati01,156,1037,Expert
chouwaiking,12,12,Layman
