Screen Name,Follower Count,Total Tweets,Type
KacieGebhardt,611,13167,Expert
rickeybolin,2787,109852,Celebrity
MarshallRHoekel,3147,1846,Celebrity
clothesdeb,430,1859,Expert
TheDictat0R,367,10383,Expert
CarolynKras,401,166,Expert
wayneswaff,30,66,Layman
jeterjane,59,190,Layman
drewdziedzic,709,3291,Expert
Bryan700,43272,358915,Celebrity
CariCole,13533,58350,Celebrity
Stevehe87789221,30,849,Layman
KDT932RYR,1192,53322,Celebrity
kelleyleanease,8,20,Layman
adinakalish,42,80,Layman
AvisMooreguapa,129,4956,Expert
anne_nelsen,1,0,Layman
SugahMamaJen,10,53,Layman
williamtran42,310,2555,Expert
harris72kolj1,215,4648,Expert
MASOUDIREDBOOK,267,8963,Expert
BichengYang,11,34,Layman
KristenLyn25,143,565,Expert
mrimage58,12,7,Layman
emilyinstl,260,2259,Expert
MA_Booe,5,52,Layman
jafraser62024,15,91,Layman
mattkunin,114,1,Expert
megcharronwebb,491,1089,Expert
mahar_michelle,27,46,Layman
rxarfyfer834,220,599,Expert
emilykaufman_,1172,2099,Celebrity
ToniHoelting,2040,626,Celebrity
MICHAELDIXON11,241,13,Expert
GavinBecker3,86137,13642,Celebrity
digitalmaestror,0,7,Layman
SLYBUTCH01,24,3376,Layman
sborowsky,77,93,Layman
j_car35,214,3755,Expert
ProfKrassa,85,954,Layman
tamcgrane,61,4,Layman
KevinMadden_ATC,107,3547,Expert
itisdemocracy,826,8444,Expert
DocStukie,3824,84799,Celebrity
danielkeyes,85,30,Layman
GidiCat,83,1566,Layman
traceeey__,277,4935,Expert
mayaaawong,253,8998,Expert
jacobunderwood,468,3087,Expert
maxmborge,251,1908,Expert
creativequest,683,1182,Expert
DebL822,25,176,Layman
jessicadoerr,557,11636,Expert
TomClemens6,1,2,Layman
k_mcrazy,168,896,Expert
itsabbe,710,13043,Expert
TonmascChen,0,0,Layman
PMACSTL,40,21,Layman
cpmurr,265,3911,Expert
cheewawa,4534,46312,Celebrity
bddemmer,28,20,Layman
CSPANKuren,119,295,Expert
NEhrhard,363,1968,Expert
cbrownsports,216,9130,Expert
STLBBToday,1042,21055,Celebrity
Friedpuddin,220,1867,Expert
mmarif24,180,1560,Expert
joeblum50,23,1409,Layman
gustavoavila504,277,6327,Expert
therealdwill11,5,5,Layman
sonnaj,6,25,Layman
UlrikaFroebel,7,1,Layman
Weiss_Wombat,2,0,Layman
KristinVelcheck,68,134,Layman
stlworkingmom,18,0,Layman
jcavaiani,898,5182,Expert
Chris84642361,8,1,Layman
DJ_Weezy,1197,21598,Celebrity
kmhz98_marie,18,428,Layman
bela099,430,6383,Expert
ALZIMPACT,6220,13721,Celebrity
ShadyRobinSmith,22,21,Layman
eddieplou,577,1007,Expert
prime_artemis,0,4,Layman
jhl10344,3,0,Layman
learntoswim10,21,77,Layman
LisaHC50,22,25,Layman
KGlovesLinux,6284,54574,Celebrity
elizaloren,401,183,Expert
AEWilliams007,195,42,Expert
slsproject,679,7235,Expert
saintloooey,734,8631,Expert
CRUSHSONGZ,819,24661,Expert
mcraes,5,0,Layman
dipesh_khanal,743,5032,Expert
patriciachenau1,129,2228,Expert
rsurvant,70,1612,Layman
EmilyWCVB,10161,17075,Celebrity
SistersEvolve31,91,269,Layman
drmoonlight9,424,2957,Expert
amdirectorchick,673,4888,Expert
TheRobertLewiz,562,59153,Expert
CeeKayVJ,470,33887,Expert
urb05,116,860,Expert
anniesavoy01,137,179,Expert
LIWAlice,589,2650,Expert
ahaverbuch,361,1683,Expert
Nikhil212,1102,2518,Celebrity
Agus1r,337,260,Expert
IrishBopeep,366,10942,Expert
shattymelt,85,334,Layman
armbear,14,249,Layman
anameara,41,191,Layman
manishipallavi,27,173,Layman
WE_Library,554,501,Expert
EthelHalo,9,7,Layman
kellyeireland,100,214,Expert
DusanFischer,528,860,Expert
cjmau,96,234,Layman
EverKidGifts,8917,1888,Celebrity
christadubill,16406,29091,Celebrity
adriannetomasi9,8,106,Layman
centralguidance,595,3745,Expert
timrpeterson,1019,4377,Celebrity
osamamekky1,287,8175,Expert
KornasTom,605,4525,Expert
newsladyB,2191,17133,Celebrity
_sammmwich,110,166,Expert
avery_day,1432,154090,Celebrity
cspanwj,62885,40661,Celebrity
Electio2016,98,555,Layman
MillstoneSTL,629,683,Expert
nickgollin,19,3,Layman
AlexendriteDeli,11,462,Layman
McKinneyCortez,222,26918,Expert
hellofelicia14,5812,72701,Celebrity
GauriJohnston,22,592,Layman
SockSandalSarah,402,925,Expert
DrakeUniversity,45002,15157,Celebrity
njobst,2652,11331,Celebrity
MicheleTanton,18,45,Layman
rebeccabw,1553,30558,Celebrity
KPBisMe,49,234,Layman
Marcperera77,548,488,Expert
