Screen Name,Follower Count,Total Tweets,Type
sciencemagazine,1364403,21504,Celebrity
prpayne5,1785,8360,Celebrity
HomeGrown_STL,250,619,Expert
STLStrong,2423,5030,Celebrity
mstreet99,162,116,Expert
chrissinstl,14,128,Layman
velvetdove,24,566,Layman
sfsam22,5143,16343,Celebrity
jbgeers,304,4406,Expert
HWFerry2000,302,3210,Expert
SankarShrihari,12,145,Layman
jseyforthspt,191,3567,Expert
AmyHC,432,1091,Expert
other_rock,1503,1284,Celebrity
camieb235,89,61,Layman
ambitious_14,2969,52909,Celebrity
JoshTurnerSTL,44,717,Layman
Scotty_Millar,44,642,Layman
scientistleo,87,190,Layman
GlantzAndrew,27,51,Layman
RepAkbari,4121,5908,Celebrity
RESachs,3486,3045,Celebrity
danielledonfro,803,879,Expert
_MatthewACruz,354,1163,Expert
AlizaShatzman,32,9,Layman
Borcherding14,296,587,Expert
ScottHaber_,225,5,Expert
Mamatha_Challa,414,764,Expert
serenamounts,754,1453,Expert
lauriellos1,67,379,Layman
emma_searson,355,565,Expert
samdelag,2904,10335,Celebrity
HitenDPatel,547,311,Expert
JJames925,532,520,Expert
emilyann1031,1446,84449,Celebrity
jenn_dynis,663,717,Expert
kaydub_cyc,369,13688,Expert
phlchristo,1542,1854,Celebrity
JamieAndrenette,261,5076,Expert
OriginalRue_21,1174,10589,Celebrity
Chrxstxphxr,1139,60141,Celebrity
PowWashu,3,0,Layman
chelseadee310,236,1824,Expert
femmephatale_,353,4488,Expert
SiegalAlexandra,26,43,Layman
SamuelAchilefu,530,73,Expert
mrjoefrank,1162,1505,Celebrity
AndrewDHaner,175,7490,Expert
kimberlysinger,326,534,Expert
GabeWatson,148,1074,Expert
chrisuggen,7156,5456,Celebrity
LMaffKipp,962,4367,Expert
Seth_Lemon,3696,101,Celebrity
DCunningham_STL,188,113,Expert
BerkeleyLab,63071,18264,Celebrity
WashUChem,226,115,Expert
LaumeierArtStL,1934,784,Celebrity
CitygardenSTL,2052,989,Celebrity
SolnicaKrezelL,461,207,Expert
stlglass,1022,2093,Celebrity
Martin_T_C,36,51,Layman
PhilliJaye,15,55,Layman
ProfRafia,198,191,Expert
wouterkool,1437,548,Celebrity
bdavidgallery,1234,6413,Celebrity
VentureCafeSTL,7622,6571,Celebrity
in_thestl,3365,1148,Celebrity
MorganSetDesign,122,177,Expert
benjamin_akande,3026,5296,Celebrity
KatieStillman,1647,2519,Celebrity
BrandeisU,20625,10780,Celebrity
UnionStationSTL,2269,1677,Celebrity
STLFoodbank,8158,14913,Celebrity
RenegadeSTL,306,139,Expert
ReimagineStl,776,93,Expert
BTstl,8189,6859,Celebrity
